  S0     S1     E      O      M     CCS    YGC     YGCT    FGC    FGCT     GCT   
100.00   0.00  23.07  75.46  95.51  94.34    162    7.277     7    3.435   10.712
100.00   0.00  73.36  75.46  95.51  94.34    162    7.277     7    3.435   10.712
  0.00  97.02  21.89  77.38  95.52  94.34    163    7.298     7    3.435   10.733
  0.00  97.02  75.71  77.38  95.52  94.34    163    7.298     7    3.435   10.733
 41.60   0.00  23.92  78.69  95.52  94.34    164    7.326     7    3.435   10.761
 41.60   0.00  79.74  78.69  95.52  94.34    164    7.326     7    3.435   10.761
  0.00  99.04  25.94  81.76  95.52  94.34    165    7.366     7    3.435   10.801
  0.00  99.04  79.83  81.76  95.52  94.34    165    7.366     7    3.435   10.801
 50.28   0.00  21.97  84.82  95.52  94.34    166    7.411     7    3.435   10.846
 50.28   0.00  75.89  84.82  95.52  94.34    166    7.411     7    3.435   10.846
  0.00  45.30  21.98  88.39  95.52  94.34    167    7.455     7    3.435   10.890
  0.00  45.30  75.93  88.39  95.52  94.34    167    7.455     7    3.435   10.890
 46.91   0.00  15.99  91.46  95.52  94.34    168    7.511     7    3.435   10.946
 46.91   0.00  67.96  91.46  95.52  94.34    168    7.511     7    3.435   10.946
  0.00  49.04   0.00  94.52  95.52  94.34    169    7.563     8    3.435   10.998
  0.00  49.04   0.00  94.52  95.52  94.34    169    7.563     8    3.435   10.998
  0.00  49.04   0.00  94.52  95.52  94.34    169    7.563     8    3.435   10.998
  0.00   0.00  16.69  16.56  95.52  94.34    169    7.563     8    4.139   11.702
  0.00   0.00  50.67  16.56  95.52  94.34    169    7.563     8    4.139   11.702
  0.00   0.00  82.87  16.56  95.52  94.34    169    7.563     8    4.139   11.702
 33.68   0.00  22.96  22.97  95.52  94.34    170    7.590     8    4.139   11.730
 33.68   0.00  70.60  22.97  95.52  94.34    170    7.590     8    4.139   11.730
  0.00  41.74  15.92  24.62  95.52  94.34    171    7.614     8    4.139   11.754
  0.00  41.74  69.66  24.62  95.52  94.34    171    7.614     8    4.139   11.754
 60.78   0.00   3.99  26.63  95.52  94.34    172    7.649     8    4.139   11.788
 60.78   0.00  55.82  26.63  95.52  94.34    172    7.649     8    4.139   11.788
  0.00  55.62   0.00  29.40  95.52  94.34    173    7.688     8    4.139   11.827
  0.00  55.62  49.90  29.40  95.52  94.34    173    7.688     8    4.139   11.827
 67.13   0.00   3.99  32.00  95.52  94.34    174    7.732     8    4.139   11.871
 67.13   0.00  53.93  32.00  95.52  94.34    174    7.732     8    4.139   11.871
 67.13  33.16 100.00  33.89  95.52  94.34    175    7.732     8    4.139   11.871
  0.00  58.38  49.96  35.00  95.52  94.34    175    7.776     8    4.139   11.915
  0.00  58.38  99.91  35.00  95.52  94.34    175    7.776     8    4.139   11.915
 62.82   0.00  39.98  37.61  95.52  94.34    176    7.833     8    4.139   11.972
 62.82   0.00  80.62  37.61  95.52  94.34    176    7.833     8    4.139   11.972
 62.82  11.63  98.12  38.27  95.52  94.34    177    7.833     8    4.139   11.972
  0.00 100.00  37.15  41.50  95.52  94.34    177    7.901     8    4.139   12.040
  0.00 100.00  81.26  41.50  95.52  94.34    177    7.901     8    4.139   12.040
 25.18   0.00  27.77  43.85  95.52  94.34    178    7.927     8    4.139   12.067
 25.18   0.00  81.31  43.85  95.52  94.34    178    7.927     8    4.139   12.067
  0.00  43.15  29.84  44.96  95.52  94.34    179    7.954     8    4.139   12.094
